base, ;2507
base, f9, ;2557,5
base, f8, ;2729
base, f8, f9, ;2786,5
base, f7, ;4616,5
base, f7, f8, ;4828
base, f7, f9, ;4658,5
base, f7, f8, f9, ;4878
base, f6, ;2907,5
base, f6, f9, ;2959
base, f6, f7, ;6610
base, f6, f7, f9, ;6657,5
base, f6, f8, ;3425,5
base, f6, f7, f8, ;6833
base, f6, f8, f9, ;3178
base, f6, f7, f8, f9, ;6883
base, f5, ;3107
base, f5, f9, ;3157
base, f5, f8, ;3328
base, f5, f8, f9, ;3387
base, f5, f6, ;3508
base, f5, f6, f8, ;3727
base, f5, f6, f9, ;3560
base, f5, f6, f8, f9, ;3779,5
base, f5, f7, ;6407
base, f5, f7, f9, ;6458
base, f5, f6, f7, ;8407,5
base, f5, f6, f7, f9, ;8464
base, f5, f7, f8, ;6634
base, f5, f6, f7, f8, ;8630,5
base, f5, f7, f8, f9, ;6677,5
base, f5, f6, f7, f8, f9, ;8681,5
base, f4, ;2708,5
base, f4, f9, ;2759
base, f4, f8, ;2926,5
base, f4, f8, f9, ;2978,5
base, f4, f7, ;5609
base, f4, f7, f8, ;5829,5
base, f4, f7, f9, ;5665,5
base, f4, f7, f8, f9, ;5883,5
base, f4, f5, ;3308,5
base, f4, f5, f9, ;3358,5
base, f4, f5, f7, ;7407
base, f4, f5, f7, f9, ;7457
base, f4, f5, f8, ;3529
base, f4, f5, f7, f8, ;7627,5
base, f4, f5, f8, f9, ;3578,5
base, f4, f5, f7, f8, f9, ;7681
base, f4, f6, ;3110
base, f4, f6, f9, ;3160
base, f4, f6, f8, ;3329,5
base, f4, f6, f8, f9, ;3389,5
base, f4, f5, f6, ;3707,5
base, f4, f5, f6, f8, ;3928
base, f4, f5, f6, f9, ;3756,5
base, f4, f5, f6, f8, f9, ;3977,5
base, f4, f6, f7, ;7619
base, f4, f6, f7, f9, ;7661,5
base, f4, f5, f6, f7, ;9415
base, f4, f5, f6, f7, f9, ;9465
base, f4, f6, f7, f8, ;7830,5
base, f4, f5, f6, f7, f8, ;9631,5
base, f4, f6, f7, f8, f9, ;7878
base, f4, f5, f6, f7, f8, f9, ;9679,5
base, f3, ;4618
base, f3, f9, ;4669,5
base, f3, f8, ;4840,5
base, f3, f8, f9, ;4894
base, f3, f7, ;6720
base, f3, f7, f8, ;6941
base, f3, f7, f9, ;6768
base, f3, f7, f8, f9, ;6990,5
base, f3, f6, ;6073,5
base, f3, f6, f9, ;6169,5
base, f3, f6, f7, ;13472,5
base, f3, f6, f7, f9, ;13574,5
base, f3, f6, f8, ;6489
base, f3, f6, f7, f8, ;13892
base, f3, f6, f8, f9, ;6588,5
base, f3, f6, f7, f8, f9, ;13996,5
base, f3, f4, ;4817
base, f3, f4, f9, ;4868
base, f3, f4, f8, ;5039,5
base, f3, f4, f8, f9, ;5089
base, f3, f4, f6, ;6469,5
base, f3, f4, f6, f8, ;6888,5
base, f3, f4, f6, f9, ;6567,5
base, f3, f4, f6, f8, f9, ;6999,5
base, f3, f4, f7, ;7719,5
base, f3, f4, f7, f9, ;7775
base, f3, f4, f6, f7, ;15483
base, f3, f4, f6, f7, f9, ;15574
base, f3, f4, f7, f8, ;7943
base, f3, f4, f6, f7, f8, ;15890,5
base, f3, f4, f7, f8, f9, ;7992
base, f3, f4, f6, f7, f8, f9, ;15999,5
base, f3, f5, ;5219
base, f3, f5, f9, ;5268,5
base, f3, f5, f8, ;5440
base, f3, f5, f8, f9, ;5487
base, f3, f5, f7, ;8521
base, f3, f5, f7, f8, ;8741
base, f3, f5, f7, f9, ;8570,5
base, f3, f5, f7, f8, f9, ;8793,5
base, f3, f4, f5, ;5420
base, f3, f4, f5, f9, ;5468,5
base, f3, f4, f5, f7, ;9518
base, f3, f4, f5, f7, f9, ;9576
base, f3, f4, f5, f8, ;5642
base, f3, f4, f5, f7, f8, ;9745,5
base, f3, f4, f5, f8, f9, ;5694,5
base, f3, f4, f5, f7, f8, f9, ;9794,5
base, f3, f5, f6, ;6969
base, f3, f5, f6, f9, ;7072
base, f3, f5, f6, f8, ;7389
base, f3, f5, f6, f8, f9, ;7488
base, f3, f4, f5, f6, ;7372
base, f3, f4, f5, f6, f8, ;7788,5
base, f3, f4, f5, f6, f9, ;7469
base, f3, f4, f5, f6, f8, f9, ;7889
base, f3, f5, f6, f7, ;16772
base, f3, f5, f6, f7, f9, ;16871
base, f3, f4, f5, f6, f7, ;18771
base, f3, f4, f5, f6, f7, f9, ;18870,5
